ID,Label,titles
0,C. F. von Weizsacker,"[{'title': 'The Structure of Physics', 'citations': 0}, {'title': 'See also the updated lists of main book publications of C. F. von Weizsäcker and of books on Weizsäcker’s philosophy of physics at pages XXXII and XXXIII.', 'citations': 1}]"
1,"(L. Castell, M. Drieschner (eds.))","[{'title': 'QTS: Quantum Theory and the Structures of Time and Space, volumes I (1975), II (1977), III (1979), IV (1981), V (1983), edited by L. Castell, M. Drieschner and', 'citations': 1}]"
2,(L. Castell (eds.)),"[{'title': 'C. F. v. Weizsäcker; volume VI (1986), edited by L. Castell and C. F. v. Weizsäcker.', 'citations': 1}]"
3,"Barut, A. O.","[{'title': 'Barut, A. O. (1984). Uniﬁcation based on electrodynamics. In Symposium on', 'citations': 1}]"
4,"Boerner, H.","[{'title': 'Boerner, H. (1955). Darstellungen von Gruppen. Springer, Berlin.', 'citations': 1}]"
5,"Bohm, D.","[{'title': 'Bohm, D. (1951). Quantum theory. Prentice Hall, New York.', 'citations': 1}, {'title': 'Bohm, D. (1952). A suggested interpretation of the quantum theory in terms of', 'citations': 1}]"
6,"Bohr, N.","[{'title': 'Bohr, N. (1913a). On the constitution of atoms and molecules. Phil. Mag., 26:1–25, 476–502, 857–875.', 'citations': 1}, {'title': 'Bohr, N. (1913b). Über das Wasserstoﬀspektrum. Fysisk Tidsskrift, 12:97.', 'citations': 1}, {'title': 'Bohr, N. (1935). Can quantum-mechanical description of reality be considered complete? Phys. Rev., 48:696–702.', 'citations': 1}, {'title': 'Bohr, N. (1949). Discussion with Einstein on epistemological problems in atomic physics. In Schilpp (1949).', 'citations': 1}]"
7,"Bohr, N., Kramers, H., and Slater, J.","[{'title': 'Bohr, N., Kramers, H., and Slater, J. (1924). Über die Quantentheorie der Strahlung.', 'citations': 1}]"
8,"Bopp, F.","[{'title': 'Bopp, F. (1954). Korpuskularstatistische Begründung der Quantenmechanik. Z.', 'citations': 1}, {'title': 'Bopp, F. (1983). Quantenphysikalischer Ursprung der Eichidee. Annalen d. Physik, 40:317–333.', 'citations': 1}]"
9,"Borges, J. L.","[{'title': 'Borges, J. L. (1970). Sämtliche Erzählungen. Hanser, Munich.', 'citations': 1}]"
10,"Born, M.","[{'title': 'Born, M. (1924). Über Quantenmechanik. Z. Phys., 26:379–395.', 'citations': 1}, {'title': 'Born, M. (1925). Vorlesungen über Atommechanik. Springer, Berlin.', 'citations': 1}, {'title': 'Born, M. (1926). Quantenmechanik der Stoßvorgänge. Z. Phys., 38:803–827.', 'citations': 1}]"
11,"Born, M. and Jordan, P.","[{'title': 'Born, M. and Jordan, P. (1930). Elementare Quantenmechanik. Springer, Berlin.', 'citations': 1}]"
12,"Broglie, L.","[{'title': 'Broglie, L. d. (1924). Thèses. Masson et Cie, Paris.', 'citations': 1}]"
13,"Capra, F.","[{'title': 'Capra, F. (1975). The Tao of Physics. Berkely.', 'citations': 1}]"
14,"Castell, L.","[{'title': 'Castell, L. (1975). Quantum theory of simple alternatives. In QTS II, 147–162.', 'citations': 1}]"
15,"Courant, R. and Hilbert, D.","[{'title': 'Courant, R. and Hilbert, D. (1937). Methoden der mathematischen Physik, volume II. Springer, Berlin.', 'citations': 1}]"
16,"Dingler, H.","[{'title': 'Dingler, H. (1943). Aufbau der exakten Fundamentalwissenschaft. Edited by P.', 'citations': 1}]"
17,"Dirac, P. A. M.","[{'title': 'Dirac, P. A. M. (1927). The quantum theory of the emission and absorption of radiation. Proc. Roy. Soc., A(114):243–265.', 'citations': 1}, {'title': 'Dirac, P. A. M. (1933). The Lagrangian in quantum mechanics. Phys. Z. Sowjetunion, 3:64–72.', 'citations': 1}, {'title': 'Dirac, P. A. M. (1937). The cosmological constants. Nature, 139:323.', 'citations': 1}]"
18,"Drieschner, M.","[{'title': 'Drieschner, M. (1967). Quantum mechanics as a general theory of objective prediction. PhD thesis, Univ. Hamburg.', 'citations': 1}, {'title': 'Drieschner, M. (1979). Voraussage-Wahrscheinlichkeit-Objekt. Springer, Berlin.', 'citations': 1}]"
19,"Durr, H.-P.","[{'title': 'Dürr, H.-P. (1977). Heisenberg’s uniﬁed theory of elementary particles and the structure of space and time. In QTS II, 33–45.', 'citations': 1}]"
20,"Eckert, M., Pricha, W., Schubert, H., and Torkar, G.","[{'title': 'Eckert, M., Pricha, W., Schubert, H., and Torkar, G. (1984). Geheimrat Sommerfeld', 'citations': 1}]"
21,"Ehrenfest, P. and Ehrenfest, T.","[{'title': 'Ehrenfest, P. and Ehrenfest, T. (1906). Über eine Aufgabe aus der Wahrscheinlichkeitsrechnung, die mit der kinetischen Deutung der Entropievermehrung zusammenhängt. Math.-Naturwiss. Blätter, 11:12.', 'citations': 1}]"
22,"Eigen, M.","[{'title': 'Eigen, M. (1971). Selforganization of matter and the evolution of biological macromolecules. Natwiss., 58:465–523.', 'citations': 1}]"
23,"Einstein, A.","[{'title': 'Einstein, A. (1905). Über einen die Erzeugung und Verwandlung des Lichts betreffenden heuristischen Gesichtspunkt. Ann. d. Physik, 17:132–148.', 'citations': 1}, {'title': 'Einstein, A. (1917). Quantentheorie der Strahlung. Phys. Zeitschrift, 18:121–128.', 'citations': 1}, {'title': 'Einstein, A. (1949). Autobiographisches. In Schilpp (1949), pages 2–95.', 'citations': 1}]"
24,"Einstein, A., Podolsky, B., and Rosen, N.","[{'title': 'Einstein, A., Podolsky, B., and Rosen, N. (1935). Can quantum-mechanical description of reality be considered complete? Phys.Rev., 47:777–780.', 'citations': 1}]"
25,"Everett, H.","[{'title': 'Everett, H. (1957). Relative state formulation of quantum mechanics. Review of', 'citations': 1}]"
26,"Feynman, R. P.","[{'title': 'Feynman, R. P. (1948). Space-time approach to non-relativistic quantum mechanics.', 'citations': 1}]"
27,"Finetti, B.","[{'title': 'Finetti, B. d. (1972). Probability, induction and statistics. J. Wiley, New York.', 'citations': 1}]"
28,"Finkelstein, D.","[{'title': 'Finkelstein, D. (1968). Space-time code. Phys. Rev., 185:1261.', 'citations': 1}]"
29,"Franz, H.","[{'title': 'Franz, H. (1949). Master’s thesis, MPI Physik, Göttingen.', 'citations': 1}]"
30,"Gadamer, H. G.","[{'title': 'Gadamer, H. G. (1960). Wahrheit und Methode. Mohr (Siebeck), Tübingen.', 'citations': 1}]"
31,"Gibbs, H. W.","[{'title': 'Gibbs, H. W. (1902). Elementary principles in statistical mechanics. Yale University', 'citations': 1}]"
32,"Glansdorff, P. and Prigogine, I.","[{'title': 'Glansdorﬀ, P. and Prigogine, I. (1971). Thermodynamic theory of structure, stability and ﬂuctuations. J. Wiley, New York.', 'citations': 1}]"
33,"Godel, K.","[{'title': 'Gödel, K. (1949). An example of a new type of cosmological solutions of Einstein’s', 'citations': 1}]"
34,"Green, H. S.","[{'title': 'Green, H. S. (1953). A generalized method of ﬁeld quantization. Phys. Rev., 90:270–', 'citations': 1}]"
35,"Greenberg, O. W. and Messiah, A. M. L.","[{'title': 'Greenberg, O. W. and Messiah, A. M. L. (1965). High-oder limit of para-Bose and para-Fermi ﬁelds. J. Math. Phys., 6:500–504.', 'citations': 1}]"
36,"Gupta, S. N.","[{'title': 'Gupta, S. N. (1950). Theory of longitudinal photons in quantum electrodynamics.', 'citations': 1}, {'title': 'Gupta, S. N. (1954). Gravitation and electromagnetism. Phys. Rev., 96:1683–85.', 'citations': 1}]"
37,"Haken, H.","[{'title': 'Haken, H. (1978). Synergetics. Springer, Berlin.', 'citations': 1}]"
38,"Hawking, S. W. and Ellis, G. F. R.","[{'title': 'Hawking, S. W. and Ellis, G. F. R. (1973). The large scale structure of space-time.', 'citations': 1}]"
39,"Heidenreich, W.","[{'title': 'Heidenreich, W. (1981). Die dynamischen Gruppen SO(3,2) und SO(4,2) als RaumZeit-Gruppen von Elementarteilchen. PhD thesis, TU Munich, Munich.', 'citations': 1}]"
40,"Heisenberg, W.","[{'title': 'Heisenberg, W. (1925). Über die quantentheoretische Umdeutung kinematischer und mechanischer Beziehungen. Z. Physik, 33:879–893.', 'citations': 1}, {'title': 'Heisenberg, W. (1927). Über den anschaulichen Inhalt der quantentheoretischen', 'citations': 1}, {'title': 'Heisenberg, W. (1930). Die physikalischen Prinzipien der Quantentheorie. Hirzel, Leipzig.', 'citations': 1}, {'title': 'Heisenberg, W. (1948). Der Begriﬀ abgeschlossene Theorie in der modernen Naturwissenschaft. Dialectica, 2:331–336.', 'citations': 1}, {'title': 'Heisenberg, W. (1967). Einführung in die einheitliche Feldtheorie der Elementarteilchen. Hirzel, Leipzig.', 'citations': 1}, {'title': 'Heisenberg, W. (1969). Der Teil und das Ganze. Piper, Munich.', 'citations': 1}, {'title': 'Heisenberg, W., Dürr, H.-P., Mitter, H., Schlieder, S., and Yamasaki, K. (1959). Z.', 'citations': 1}]"
41,"Heisenberg, W. and Pauli, W.","[{'title': 'Heisenberg, W. and Pauli, W. (1929). Zur Quantendynamik der Wellenfelder. Z.', 'citations': 1}]"
42,"Helmholtz, H.","[{'title': 'Helmholtz, H. v. (1868). Über die Tatsachen, die der Geometrie zugrunde liegen.', 'citations': 1}]"
43,"Hilbert, D.","[{'title': 'Hilbert, D. (1915). Die Grundlagen der Physik. Nachr. Königl. Ges. Wiss.', 'citations': 1}]"
44,"Hoffmann, B. and Dukas, H.","[{'title': 'Hoﬀmann, B. and Dukas, H. (1972). Albert Einstein. Viking Press, New York.', 'citations': 1}]"
45,"Jacob, P.","[{'title': 'Jacob, P. (1979). Konform invariante Theorie exklusiver Elementarteilchen-Streuungen bei großen Winkeln. PhD thesis, MPI Starnberg.', 'citations': 1}]"
46,"Jammer, M.","[{'title': 'Jammer, M. (1974). The philosophy of quantum mechanics. J. Wiley, New York.', 'citations': 1}]"
47,"Jauch, J. M.","[{'title': 'Jauch, J. M. (1968). Foundations of quantum mechanics. Addison-Wesley, Reading, Mass.', 'citations': 1}]"
48,"Kant, I.","[{'title': 'Kant, I. (1781). Kritik der reinen Vernunft. Riga.', 'citations': 1}, {'title': 'Kant, I. (1786). Metaphysische Anfangsgründe der Naturwissenschaft. Riga.', 'citations': 1}]"
49,"Kuhn, T. S.","[{'title': 'Kuhn, T. S. (1962). The Structure of Scientiﬁc Revolutions. University of Chicago', 'citations': 1}]"
50,"Kunemund, T.","[{'title': 'Künemund, T. (1982). Dynamische Symmetrien in der Elementarteilchenphysik.', 'citations': 1}, {'title': 'Künemund, T. (1985). Die Darstellungen der symplektischen und konformen Superalgebren. PhD thesis, TU Munich.', 'citations': 1}]"
51,"Lorentz, K.","[{'title': 'Lorentz, K. (1973). Die Rückseite des Spiegels. Piper, Munich.', 'citations': 1}]"
52,"Lorenz, K.","[{'title': 'Lorenz, K. (1942). Die angeborenen Formen möglicher Erfahrung. Z. Tierpsychol., 5:235.', 'citations': 1}]"
53,"Ludwig, G.","[{'title': 'Ludwig, G. (1954). Die Grundlagen der Quantenmechanik. Springer, Berlin.', 'citations': 1}]"
54,"Mehra, J.","[{'title': 'Mehra, J. (1973a). Einstein, Hilbert, and the theory of gravitation. In Mehra', 'citations': 1}]"
55,"Mehra, J., editor","[{'title': 'Mehra, J., editor (1973b). The physicists’s conception of nature, Dordrecht. Reidel.', 'citations': 1}]"
56,"Meyer-Abich, K. M.","[{'title': 'Meyer-Abich, K. M. (1965). Korrespondenz, Individualität und Komplementarität.', 'citations': 1}]"
57,"Mittelstaedt, P.","[{'title': 'Mittelstaedt, P. (1979). Der Dualismus von Feld und Materie in der Allgemeinen', 'citations': 1}]"
58,"In Nelkowski, H., editor","[{'title': 'Relativitätstheorie. In Nelkowski, H., editor, Einstein Symposion Berlin, Berlin.', 'citations': 1}]"
